id,email,name,phone,birth_date,join_date
1,yuval@gmail.com,yoni,542182121,08/02/1997 00:00,08/02/2023 00:00
2,yoav@gmail.com,Peleg Geva,521254564,22/04/1998 00:00,20/06/2016 00:00
3,yoni@gmail.com,Ran Mor,525778566,12/11/1992 00:00,14/08/2004 00:00
4,ori@gmail.com,Roni Dani,585435111,18/02/1962 00:00,12/09/1999 00:00
5,chen@gmail.com,Ofer Tal,547779595,18/07/1989 00:00,03/01/2012 00:00
6,neta@gmail.com,Gil Yaniv,548462184,06/07/1988 00:00,13/06/2007 00:00
7,levi@gmail.com,yael levi,549250167,17/12/1999 00:00,01/01/2017 00:00
8,mor@gmail.com,moshe stain,549250168,20/06/2000 00:00,14/05/2015 00:00
9,reut@gmail.com,ron peleg,527687688,31/12/1995 00:00,15/03/2020 00:00
10,lahav@gmail.com,yoram lev,556783452,01/09/1997 00:00,23/12/2021 00:00
11,reut@gmail.com,hadas toler,509873452,28/06/2001 00:00,26/07/2019 00:00
12,mor@gmail.com,yuval golan,546734256,30/08/1990 00:00,28/05/2016 00:00
13,reut@gmail.com,koral shemesh,545441580,31/08/1989 00:00,26/08/2022 00:00
14,yoav@gmail.com,idan refael,523478994,18/02/1996 00:00,21/02/1987 00:00
15,reut@gmail.com,ido segal,527855443,26/07/1958 00:00,24/08/1998 00:00
16,ori@gmail.com,yoav alyalon,542219648,27/01/1999 00:00,25/09/2001 00:00
17,chen@gmail.com,roy ben zur,506386943,20/06/2002 00:00,18/07/2009 00:00
18,neta@gmail.com,elad yaffe,500673853,21/02/1987 00:00,06/07/1998 00:00
19,levi@gmail.com,shachar dan,544227758,24/08/1998 00:00,17/12/1999 00:00
20,mor@gmail.com,leon rozen,547778895,25/09/2001 00:00,20/06/2000 00:00
21,reut@gmail.com,liora ishay,523458760,26/03/1986 00:00,28/06/2001 00:00
22,neta@gmail.com,jack robin,500734256,14/08/2004 00:00,14/06/2007 00:00
23,levi@gmail.com,gal dadon,545400080,12/09/1999 00:00,01/05/2017 00:00
24,mor@gmail.com,or shwartz ,523445694,27/08/1999 00:00,19/05/2015 00:00
25,chen@gmail.com,dana mor,547685443,20/12/2002 00:00,15/03/2021 00:00
26,chen@gmail.com,tal alfasi,586544256,21/06/1987 00:00,14/05/2017 00:00
27,chen@gmail.com,matan shahar,589345080,30/10/1990 00:00,11/03/2017 00:00
28,chen@gmail.com,or hai,587645694,31/10/1989 00:00,19/02/2020 00:00
29,chen@gmail.com,may lahav,543655443,24/03/1998 00:00,15/11/2014 00:00
30,chen@gmail.com,daniel lev,548728895,25/07/2001 00:00,15/05/2005 00:00
